id,predicted_difficulty
0,B1
1,A2
2,A1
3,A1
4,C2
5,C2
6,A2
7,A2
8,C1
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A1
18,B1
19,A1
20,C2
21,A2
22,C1
23,C1
24,B2
25,C2
26,A2
27,A1
28,A1
29,B1
30,A1
31,A2
32,A1
33,B1
34,A2
35,A1
36,C1
37,B2
38,A2
39,A2
40,A2
41,C1
42,C2
43,C1
44,C2
45,C2
46,B2
47,C2
48,A1
49,A2
50,C1
51,A1
52,B2
53,A2
54,A1
55,B2
56,C1
57,C2
58,C1
59,A2
60,B2
61,A2
62,C2
63,C2
64,C1
65,B2
66,B1
67,A2
68,B2
69,C2
70,C1
71,C1
72,B2
73,B1
74,B1
75,A2
76,B2
77,C1
78,B1
79,B1
80,A2
81,B2
82,B2
83,B1
84,A1
85,C2
86,B1
87,B2
88,C2
89,B1
90,C2
91,A2
92,B1
93,C2
94,A1
95,A2
96,A1
97,A2
98,C2
99,C2
100,C1
101,C1
102,A1
103,A2
104,C2
105,A2
106,B2
107,B1
108,A2
109,C1
110,B2
111,A1
112,C1
113,B2
114,C2
115,B1
116,C1
117,B1
118,B1
119,B2
120,A2
121,B1
122,B1
123,C1
124,A2
125,C2
126,C1
127,B2
128,C1
129,C1
130,A2
131,A2
132,B2
133,A2
134,B2
135,C1
136,A2
137,B2
138,A2
139,A2
140,A1
141,C2
142,C2
143,C2
144,C1
145,B2
146,A1
147,C1
148,B2
149,B1
150,B2
151,B2
152,A1
153,A2
154,A2
155,C2
156,C1
157,A1
158,A1
159,A1
160,A2
161,A1
162,A2
163,B2
164,C2
165,C2
166,A1
167,C1
168,B1
169,C2
170,A1
171,B1
172,A1
173,A2
174,B1
175,C1
176,C1
177,C1
178,B1
179,C1
180,A2
181,C2
182,B2
183,A2
184,C1
185,B1
186,A2
187,B1
188,C2
189,C2
190,A1
191,C1
192,C1
193,C2
194,B1
195,A1
196,C2
197,C1
198,C2
199,A2
200,B2
201,C2
202,A1
203,A1
204,C1
205,A1
206,A1
