id,sentence,difficulty,processed_sentence,sentence_length,avg_word_length,type_token_ratio,syntactic_complexity,pos_tags,PUNCT,ADV,CCONJ,X,AUX,DET,PRON,NUM,NOUN,INTJ,ADP,ADJ,VERB,PROPN,SCONJ
0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,le coût kilométrique réel pouvoir diverger sensiblement de valeur moyen en fonction de moyen de transport utiliser de taux doccupation ou de taux de remplissage de linfrastructure utiliser de le topographie de ligne de flux de trafic etc,38,5.7368421052631575,0.7631578947368421,5,"{'DET': 3, 'NOUN': 14, 'ADJ': 3, 'VERB': 4, 'ADV': 2, 'ADP': 13, 'PUNCT': 5, 'CCONJ': 1}",5,2,1,0,0,3,0,0,14,0,13,3,4,0,0
1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,le bleu cest mon couleur préférer mais je naime pas le vert,12,4.25,1.0,1,"{'DET': 3, 'NOUN': 2, 'PUNCT': 2, 'PRON': 2, 'AUX': 1, 'VERB': 2, 'CCONJ': 1, 'ADV': 2, 'PROPN': 1}",2,2,1,0,1,3,2,0,2,0,0,0,2,1,0
2,Le test de niveau en français est sur le site Internet de l'école.,A1,le test de niveau en français être sur le site internet de lécole,13,4.153846153846154,0.9230769230769231,0,"{'DET': 3, 'NOUN': 6, 'ADP': 4, 'VERB': 1, 'PUNCT': 1}",1,0,0,0,0,3,0,0,6,0,4,0,1,0,0
3,Est-ce que ton mari est aussi de Boston?,A1,estce que ton mari être aussi de boston,8,4.125,1.0,0,"{'NOUN': 3, 'PRON': 1, 'SCONJ': 1, 'VERB': 1, 'ADV': 1, 'ADP': 1, 'PROPN': 1, 'PUNCT': 1}",1,1,0,0,0,0,1,0,3,0,1,0,1,1,1
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,dans le école de commerce dans le couloir de place financier il arriver aujourdhui de croiser de jeune adulte de 20 ou 25 an qui prévoir douvrir un maison dhôter dans un quinzaine danner,34,5.176470588235294,0.8235294117647058,2,"{'ADP': 11, 'DET': 4, 'NOUN': 10, 'PUNCT': 5, 'ADJ': 2, 'PRON': 2, 'VERB': 4, 'ADV': 1, 'NUM': 2, 'CCONJ': 1}",5,1,1,0,0,4,2,2,10,0,11,2,4,0,0
5,voilà une autre histoire que j'ai beaucoup aimée.,A2,voilà un autre histoire que jai beaucoup aimer,8,5.25,1.0,0,"{'VERB': 2, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'PRON': 2, 'AUX': 1, 'ADV': 1, 'PUNCT': 1}",1,1,0,0,1,1,2,0,1,0,0,1,2,0,0
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,le médecin dire souvent quon devoir boire un verre de vin rouge après le repas,15,4.6,1.0,0,"{'DET': 3, 'NOUN': 3, 'ADV': 2, 'SCONJ': 1, 'PRON': 1, 'VERB': 3, 'ADP': 2, 'NUM': 1, 'PUNCT': 1}",1,2,0,0,0,3,1,1,3,0,2,0,3,0,1
7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,il être particulièrement observer chez le personne avoir un besoin de popularité développé qui considérer dès lors le moindre signal de smartphone comme un possible indicateur de son degré de popularité,31,5.67741935483871,0.9032258064516129,1,"{'PRON': 2, 'AUX': 1, 'ADV': 2, 'VERB': 3, 'ADP': 7, 'DET': 5, 'NOUN': 8, 'PROPN': 1, 'PUNCT': 2, 'ADJ': 2}",2,2,0,0,1,5,2,0,8,0,7,2,3,1,0
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,jai retrouver le plaisir de manger un oeuf à le coque,11,3.909090909090909,1.0,0,"{'PRON': 1, 'AUX': 1, 'VERB': 2, 'DET': 3, 'NOUN': 3, 'ADP': 2}",0,0,0,0,1,3,1,0,3,0,2,0,2,0,0
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,nous aller bien nous habiter dans un petit maison ancien avec un très beau jardin,15,4.933333333333334,1.0,1,"{'PRON': 2, 'VERB': 2, 'ADV': 2, 'PUNCT': 1, 'ADP': 2, 'DET': 2, 'ADJ': 2, 'NOUN': 2, 'PROPN': 1}",1,2,0,0,0,2,2,0,2,0,2,2,2,1,0
10,Bonjour et bonne année.,A1,bonjour et bon année,4,5.0,1.0,0,"{'PROPN': 1, 'CCONJ': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 1}",1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
11,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2,le presse sest abondamment faire lécho de effet secondaire ressentir par le soignant de moins de 65 an,18,5.166666666666667,0.9444444444444444,0,"{'DET': 3, 'NOUN': 5, 'PRON': 1, 'AUX': 1, 'ADV': 2, 'VERB': 1, 'ADP': 4, 'ADJ': 2, 'NUM': 1, 'PUNCT': 1}",1,2,0,0,1,3,1,1,5,0,4,2,1,0,0
12,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1,pour que le rocher souvre il falloir le toucher avec un brin dherb,13,4.3076923076923075,0.9230769230769231,1,"{'ADP': 3, 'SCONJ': 1, 'DET': 3, 'PROPN': 1, 'PRON': 2, 'VERB': 2, 'PUNCT': 2, 'NOUN': 3}",2,0,0,0,0,3,2,0,3,0,3,0,2,1,1
13,J'habite une belle ville dans le nord de la France.,A1,jhabite un bel ville dans le nord de le france,10,4.2,1.0,0,"{'PRON': 1, 'VERB': 1, 'DET': 3, 'ADJ': 1, 'NOUN': 2, 'ADP': 2, 'PROPN': 1, 'PUNCT': 1}",1,0,0,0,0,3,1,0,2,0,2,1,1,1,0
14,"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2,certes il devoir répondre à goût de consommateur mais aussi à capacité de son portemonnaie,15,5.533333333333333,0.9333333333333333,1,"{'ADV': 2, 'PRON': 1, 'VERB': 2, 'ADP': 4, 'NOUN': 4, 'PUNCT': 2, 'CCONJ': 1, 'DET': 1}",2,2,1,0,0,1,1,0,4,0,4,0,2,0,0
